,Item1,Item2,support,conf,lift
100,kadala parupu 500gm,jeeragam 50gm,0.033505924524544456,0.8147699757869249,21.28149510228371
101,kadala parupu 500gm,jeeragam 100gm,0.0393682166683262,0.9573244552058111,21.6968338586899
104,kadala parupu 500gm,pepper black 50gm,0.03288360051777357,0.799636803874092,22.39317510298363
105,kadala parupu 500gm,pepper black 100gm,0.030892163696106742,0.7512106537530266,21.804649120351577
106,kadala parupu 500gm,vendiyam 100gm,0.039866075873742905,0.9694309927360775,20.627109025526327
108,kadala parupu 500gm,sugar 1kg,0.09473016031066414,2.3035714285714284,20.141271395923695
109,kadala parupu 500gm,gold winner refined sunflower oil 1l,0.03370506820671114,0.8196125907990314,20.406245427690543
110,pottukadalai 250gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.6484354457007626,20.764407114141918
111,pottukadalai 250gm,tata salt 1kg,0.04628845962361844,0.9779121745990007,20.39174039864576
113,pottukadalai 250gm,pacha pairu yellow 500gm,0.03289604699790899,0.6949776492242966,20.063702568910127
114,pottukadalai 250gm,kadala parupu 500gm,0.039903415314149156,0.8430186694714699,20.499846240924867
116,pottukadalai 250gm,pottukadalai 500gm,0.03226127651100269,0.6815671838022614,19.432162461110323
117,pottukadalai 250gm,toor dhal 500gm,0.039928308274419996,0.8435445700762556,18.292508755251465
118,pottukadalai 250gm,toor dhal 1kg,0.05583490988748382,1.179595056534315,17.612597142202752
120,pottukadalai 250gm,ulundu full white 1kg,0.0478069302001394,1.0099921114909283,17.368751328259233
121,pottukadalai 250gm,ulundu white broken 100gm,0.03282136811709648,0.6933999474099395,18.701082703828188
122,pottukadalai 250gm,jeeragam 50gm,0.033505924524544456,0.707862214041546,18.489103291597523
123,pottukadalai 250gm,jeeragam 100gm,0.0393682166683262,0.8317118064685775,18.849944535659066
126,pottukadalai 250gm,pepper black 50gm,0.03288360051777357,0.6947146989219037,19.454917312715732
127,pottukadalai 250gm,pepper black 100gm,0.030892163696106742,0.6526426505390481,18.94361311954815
128,pottukadalai 250gm,vendiyam 100gm,0.039866075873742905,0.8422298185642914,17.920580652205885
130,pottukadalai 250gm,sugar 1kg,0.09473016031066414,2.001314751511964,17.498490847260555
131,pottukadalai 250gm,gold winner refined sunflower oil 1l,0.03370506820671114,0.7120694188798317,17.72869705313951
132,pottukadalai 500gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.8750887154009938,28.022370566033256
133,pottukadalai 500gm,tata salt 1kg,0.04628845962361844,1.3197303051809794,27.519442418754377
135,pottukadalai 500gm,pacha pairu yellow 500gm,0.03289604699790899,0.9378992193044713,27.07674267905082
136,pottukadalai 500gm,kadala parupu 500gm,0.039903415314149156,1.1376863023420867,27.665335434434805
137,pottukadalai 500gm,pottukadalai 250gm,0.04330130439111819,1.2345635202271115,26.08198040208442
139,pottukadalai 500gm,toor dhal 500gm,0.039928308274419996,1.1383960255500356,24.686448117892592
140,pottukadalai 500gm,toor dhal 1kg,0.05583490988748382,1.5919091554293825,23.76888109716007
142,pottukadalai 500gm,ulundu full white 1kg,0.0478069302001394,1.3630234208658625,23.439801739307974
143,pottukadalai 500gm,ulundu white broken 100gm,0.03282136811709648,0.9357700496806245,25.237834465102413
144,pottukadalai 500gm,jeeragam 50gm,0.033505924524544456,0.9552874378992193,24.95176004895152
145,pottukadalai 500gm,jeeragam 100gm,0.0393682166683262,1.1224272533711854,25.438729265121165
148,pottukadalai 500gm,pepper black 50gm,0.03288360051777357,0.9375443577004968,26.255163428054626
149,pottukadalai 500gm,pepper black 100gm,0.030892163696106742,0.8807665010645849,25.56513864217233
150,pottukadalai 500gm,vendiyam 100gm,0.039866075873742905,1.1366217175301634,24.184516756685237
152,pottukadalai 500gm,sugar 1kg,0.09473016031066414,2.700851667849539,23.614890238513805
